Отбор...;
152;50,36611112
153;53,13374904
154;51,78443875
155;53,77759847
156;53,08120566
157;52,60886046
158;51,36512728
159;51,59062556
160;51,64367579
161;50,36475711
162;53,05345701
163;51,77061167
164;50,27094886
165;51,85917589
166;53,0309102
167;51,37719274
168;53,42469655
169;52,38511422
170;53,42628986
171;51,31612898
172;51,59852768
173;51,63194357
174;52,82432921
175;50,01398837
176;49,67741629
177;53,68764947
178;51,70659489
179;53,79655465
180;53,37656209
181;51,08285697
182;51,89622529
183;51,38019311
184;52,25271047
185;54,10086166
186;51,43812875
187;52,04064079
188;51,24944107
189;51,38883794
190;52,60479114
191;49,71033166
192;52,24331212
193;51,58517895
194;51,93436535
195;52,78439508
196;52,17070947
197;50,24328103
